,franchID,franchName,active,NAassoc
0,ALT,Altoona Mountain City,N,
1,ANA,Los Angeles Angels of Anaheim,Y,
2,ARI,Arizona Diamondbacks,Y,
3,ATH,Philadelphia Athletics,N,PNA
4,ATL,Atlanta Braves,Y,BNA
5,BAL,Baltimore Orioles,Y,
6,BFB,Buffalo Bisons,N,
7,BFL,Buffalo Bisons,N,
8,BLC,Baltimore Canaries,,
9,BLO,Baltimore Orioles,N,
10,BLT,Baltimore Terrapins,N,
11,BLU,Baltimore Monumentals,N,
12,BNA,Boston Red Stockings,,ATL
13,BOS,Boston Red Sox,Y,
14,BRA,Brooklyn Atlantics,,
15,BRD,Boston Reds,N,
16,BRG,Brooklyn Gladiators,N,
17,BRS,Boston Reds,N,
18,BTT,Brooklyn Tip-Tops,N,
19,BUF,Buffalo Bisons,N,
20,BWW,Brooklyn Ward's Wonders,N,
21,CBK,Columbus Buckeyes,N,
22,CBL,Cleveland Blues,N,
23,CEN,Philadelphia Centennials,,
24,CFC,Cleveland Forest Citys,,
25,CHC,Chicago Cubs,Y,CNA
26,CHH,Chicago Whales,N,
27,CHP,Chicago Pirates,N,
28,CHW,Chicago White Sox,Y,
29,CIN,Cincinnati Reds,Y,
30,CKK,Cincinnati Kelly's Killers,N,
31,CLE,Cleveland Indians,Y,
32,CLI,Cleveland Infants,N,
33,CLS,Columbus Solons,N,
34,CLV,Cleveland Spiders,N,
35,CNA,Chicago White Stockings,,CHC
36,CNR,Cincinnati Reds,N,
37,COL,Colorado Rockies,Y,
38,COR,Cincinnati Outlaw Reds,N,
39,CPI,Chicago/Pittsburgh (Union League),N,
40,DET,Detroit Tigers,Y,
41,DTN,Detroit Wolverines,N,
42,ECK,Brooklyn Eckfords,,
43,FLA,Florida Marlins,Y,
44,HAR,Hartford Dark Blues,N,HNA
45,HNA,Hartford Dark Blues,,HAR
46,HOU,Houston Astros,Y,
47,IBL,Indianapolis Blues,N,
48,IHO,Indianapolis Hoosiers,N,
49,IND,Indianapolis Hoosiers,N,
50,KCC,Kansas City Cowboys,N,
51,KCN,Kansas City Cowboys,N,
52,KCP,Kansas City Packers,N,
53,KCR,Kansas City Royals,Y,
54,KCU,Kansas City Cowboys,N,
55,KEK,Fort Wayne Kekiongas,,
56,LAD,Los Angeles Dodgers,Y,
57,LGR,Louisville Grays,N,
58,LOU,Louisville Colonels,N,
59,MAN,Middletown Mansfields,,
60,MAR,Baltimore Marylands,,
61,MIL,Milwaukee Brewers,Y,
62,MIN,Minnesota Twins,Y,
63,MLA,Milwaukee Brewers,N,
64,MLG,Milwaukee Grays,N,
65,MLU,Milwaukee Brewers,N,
66,NAT,Washington Nationals,,
67,NEW,Newark Pepper,N,
68,NHV,New Haven Elm Citys,,
69,NNA,New York Mutuals,,NYU
70,NYI,New York Giants,N,
71,NYM,New York Mets,Y,
72,NYP,New York Metropolitans,N,
73,NYU,New York Mutuals,N,NNA
74,NYY,New York Yankees,Y,
75,OAK,Oakland Athletics,Y,
76,OLY,Washington Olympics,,
77,PBB,Pittsburgh Burghers,N,
78,PBS,Pittsburgh Rebels,N,
79,PHA,Philadelphia Athletics,N,
80,PHI,Philadelphia Phillies,Y,
81,PHK,Philadelphia Keystones,N,
82,PHQ,Philadelphia Athletics,N,
83,PIT,Pittsburgh Pirates,Y,
84,PNA,Philadelphia Athletics,,ATH
85,PRO,Providence Grays,N,
86,PWS,Philadelphia White Stockings,,
87,RES,Elizabeth Resolutes,,
88,RIC,Richmond Virginians,N,
89,ROC,Rochester Broncos,N,
90,ROK,Rockford Forest Citys,,
91,SBS,St. Louis Brown Stockings,N,SNA
92,SDP,San Diego Padres,Y,
93,SEA,Seattle Mariners,Y,
94,SFG,San Francisco Giants,Y,
95,SLI,St. Louis Terriers,N,
96,SLM,St. Louis Maroons,N,
97,SLR,St. Louis Red Stockings,,
98,SNA,St. Louis Brown Stockings,,SBS
99,STL,St. Louis Cardinals,Y,
100,STP,St. Paul Apostles,N,
101,SYR,Syracuse Stars,N,
102,SYS,Syracuse Stars,N,
103,TBD,Tampa Bay Rays,Y,
104,TEX,Texas Rangers,Y,
105,TLM,Toledo Maumees,N,
106,TOL,Toledo Blue Stockings,N,
107,TOR,Toronto Blue Jays,Y,
108,TRO,Troy Haymakers,,
109,TRT,Troy Trojans,N,
110,WAS,Washington Senators,N,
111,WBL,Washington Blue Legs,,
112,WES,Keokuk Westerns,,
113,WIL,Wilmington Quicksteps,N,
114,WNA,Washington Nationals,N,
115,WNL,Washington Nationals,N,
116,WNT,Washington Nationals,,
117,WOR,Worcester Ruby Legs,N,
118,WSN,Washington Nationals,Y,
119,WST,Washington Statesmen,N,
